0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:27:09 +0800] "GET /First/images/.jpg HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:27:23 +0800] "POST /First/loginverify/studentverify.jsp HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:27:25 +0800] "GET /First/logindwn/login1.jsp HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:27:27 +0800] "POST /First/loginverify/studentverify.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:27:27 +0800] "GET /First/managefirstpage.jsp HTTP/1.1" 200 5453
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:27:27 +0800] "GET /First/images/.jpg HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:30:43 +0800] "GET /First/managefirstpage.jsp HTTP/1.1" 200 5453
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:30:43 +0800] "GET /First/js/jquery1.js HTTP/1.1" 200 71972
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:30:43 +0800] "GET /First/images/.jpg HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/managefirstpage.jsp HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/CSS/adminStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/js/jquery1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/images/admin_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/images/bbb_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/images/bbb_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/images/bbb_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/images/bbb_04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/images/.jpg HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/images/admin_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/images/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:23 +0800] "GET /First/images/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:24 +0800] "GET /First/managefirstpage.jsp HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:24 +0800] "GET /First/CSS/adminStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:24 +0800] "GET /First/js/jquery1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:24 +0800] "GET /First/images/admin_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:24 +0800] "GET /First/images/bbb_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:24 +0800] "GET /First/images/bbb_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:24 +0800] "GET /First/images/bbb_04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2019:18:31:24 +0800] "GET /First/images/bbb_01.jpg HTTP/1.1" 304 -
